CurrentTime;ElapsedTime;0_REGISTER_Sent;0_REGISTER_Retrans;1_401_Recv;1_401_Retrans;1_401_Timeout;1_401_Unexp;2_REGISTER_Sent;2_REGISTER_Retrans;3_200_Recv;3_200_Retrans;3_200_Timeout;3_200_Unexp;
2020-04-08	02:01:41.957428	1586291501.957428;00:00:00:002000;0;0;0;0;0;0;0;0;0;0;0;0;
2020-04-08	02:01:42.067424	1586291502.067424;00:00:00:112000;1;0;1;0;0;0;1;0;1;0;0;0;
2020-04-08	02:01:42.067507	1586291502.067507;00:00:00:112000;1;0;1;0;0;0;1;0;1;0;0;0;
